GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
01-001,1,Thu September 4,Cowboys,Eagles,0,0,0,H or A,H or A
01-002,1,Fri September 5,Chiefs,Chargers,0,0,0,H or A,H or A
01-003,1,Sun September 7,Cardinals,Saints,0,0,0,H or A,H or A
01-004,1,Sun September 7,Panthers,Jaguars,0,0,0,H or A,H or A
01-005,1,Sun September 7,Bengals,Browns,0,0,0,H or A,H or A
01-006,1,Sun September 7,Raiders,Patriots,0,0,0,H or A,H or A
01-007,1,Sun September 7,Dolphins,Colts,0,0,0,H or A,H or A
01-008,1,Sun September 7,Giants,Commanders,0,0,0,H or A,H or A
01-009,1,Sun September 7,Steelers,Jets,0,0,0,H or A,H or A
01-010,1,Sun September 7,Buccaneers,Falcons,0,0,0,H or A,H or A
01-011,1,Sun September 7,49ers,Seahawks,0,0,0,H or A,H or A
01-012,1,Sun September 7,Titans,Broncos,0,0,0,H or A,H or A
01-013,1,Sun September 7,Lions,Packers,0,0,0,H or A,H or A
01-014,1,Sun September 7,Texans,Rams,0,0,0,H or A,H or A
01-015,1,Sun September 7,Ravens,Bills,0,0,0,H or A,H or A
01-016,1,Mon September 8,Vikings,Bears,0,0,0,H or A,H or A
02-001,2,Thu September 11,Commanders,Packers,0,0,0,H or A,H or A
02-002,2,Sun September 14,Bills,Jets,0,0,0,H or A,H or A
02-003,2,Sun September 14,Bears,Lions,0,0,0,H or A,H or A
02-004,2,Sun September 14,Browns,Ravens,0,0,0,H or A,H or A
02-005,2,Sun September 14,Jaguars,Bengals,0,0,0,H or A,H or A
02-006,2,Sun September 14,Rams,Titans,0,0,0,H or A,H or A
02-007,2,Sun September 14,Patriots,Dolphins,0,0,0,H or A,H or A
02-008,2,Sun September 14,Giants,Cowboys,0,0,0,H or A,H or A
02-009,2,Sun September 14,49ers,Saints,0,0,0,H or A,H or A
02-010,2,Sun September 14,Seahawks,Steelers,0,0,0,H or A,H or A
02-011,2,Sun September 14,Panthers,Cardinals,0,0,0,H or A,H or A
02-012,2,Sun September 14,Broncos,Colts,0,0,0,H or A,H or A
02-013,2,Sun September 14,Eagles,Chiefs,0,0,0,H or A,H or A
02-014,2,Sun September 14,Falcons,Vikings,0,0,0,H or A,H or A
02-015,2,Mon September 15,Buccaneers,Texans,0,0,0,H or A,H or A
02-016,2,Mon September 15,Chargers,Raiders,0,0,0,H or A,H or A
03-001,3,Thu September 18,Dolphins,Bills,0,0,0,H or A,H or A
03-002,3,Sun September 21,Falcons,Panthers,0,0,0,H or A,H or A
03-003,3,Sun September 21,Bengals,Vikings,0,0,0,H or A,H or A
03-004,3,Sun September 21,Packers,Browns,0,0,0,H or A,H or A
03-005,3,Sun September 21,Texans,Jaguars,0,0,0,H or A,H or A
03-006,3,Sun September 21,Colts,Titans,0,0,0,H or A,H or A
03-007,3,Sun September 21,Raiders,Commanders,0,0,0,H or A,H or A
03-008,3,Sun September 21,Rams,Eagles,0,0,0,H or A,H or A
03-009,3,Sun September 21,Jets,Buccaneers,0,0,0,H or A,H or A
03-010,3,Sun September 21,Steelers,Patriots,0,0,0,H or A,H or A
03-011,3,Sun September 21,Broncos,Chargers,0,0,0,H or A,H or A
